Age,Experience,Masters,GPA,Salary
58,4,0,3.48,165727.97
24,18,0,3.18,167979.81
20,1,0,2.44,76761.04
30,18,1,2.44,172880.99
55,9,0,3.52,184677.43
35,5,0,3.91,147298.63
39,4,0,2.76,121276.4
34,2,1,3.07,129816.04
42,3,1,3.66,145566.81
54,7,0,2.09,139879.35
32,10,0,3.71,158047.86
47,12,0,2.74,164182.27
31,9,0,3.22,144302.37
28,15,1,2.54,166829.25
58,18,0,3.37,224424.48
32,2,1,2.8,111181.61
22,7,1,2.43,106347.64
59,15,0,2.53,194090.2
33,18,1,3.49,190359.91
41,8,0,3.02,150736.58
23,2,0,2.31,88127.79
56,3,1,2.76,164056.7
47,17,1,3.94,221907.21
25,18,1,3.54,184636.91
39,4,1,2.87,126280.64
34,17,0,3.02,176914.82
24,10,0,2.31,118068.88
51,1,1,2.98,139933.55
25,12,1,2.48,142511.02
23,3,1,3.63,130301.77
52,5,0,3.32,160598.0
51,14,0,3.86,200995.34
30,10,1,3.99,165661.11
51,15,0,2.5,177159.15
22,11,0,3.18,134679.48
22,2,0,2.13,82839.12
20,11,0,3.03,127514.22
52,5,1,2.49,160491.64
48,14,0,2.19,164888.95
44,15,0,3.35,182367.49
59,4,0,2.81,149787.95
33,7,0,3.07,141180.26
26,14,0,2.56,141093.78
46,18,0,2.1,190130.05
52,1,0,3.85,153052.56
49,16,0,3.73,202185.76
21,6,1,2.0,94677.44
47,10,1,3.39,190779.36
53,16,0,2.38,186689.86
52,2,1,2.11,137680.22
55,16,0,2.11,174729.35
22,3,0,2.81,95100.0
54,8,0,3.24,165535.13
51,11,1,2.41,179097.05
38,8,1,2.79,149224.98
38,3,0,2.92,117837.98
54,4,0,3.08,149776.4
40,3,0,2.74,121221.47
28,15,1,3.22,179220.97
18,18,1,3.86,179896.29
24,5,1,2.23,113104.97
35,10,0,3.44,158373.98
31,9,1,2.5,140853.1
58,14,1,2.09,191739.18
39,5,1,2.32,124956.44
53,1,0,2.15,124994.69
27,18,0,3.67,176101.08
26,2,1,2.73,106737.26
20,12,0,3.36,136151.03
53,14,0,3.85,200750.45
33,6,0,3.76,149248.0
39,14,0,2.53,161306.75
24,13,0,3.72,156547.03
47,12,1,3.64,205090.94
32,8,0,3.32,136513.95
22,9,1,3.28,142446.54
43,18,1,3.88,228272.49
29,19,1,2.08,177734.64
56,14,1,3.46,211621.15
50,4,1,3.8,177687.07
30,9,0,3.42,153956.65
52,7,1,2.86,169601.11
39,11,0,3.44,163082.54
44,11,1,3.39,187108.1
53,5,0,2.84,157618.47
29,19,1,2.81,179327.59
18,10,1,2.42,124081.77
38,15,1,2.88,174181.29
31,17,1,3.59,199021.34
23,10,1,2.19,123882.39
33,10,0,3.61,155404.64
48,3,1,2.83,148169.16
58,19,0,3.44,221152.72
27,1,0,3.56,111944.52
32,6,1,2.1,121848.92
47,5,1,3.34,172330.93
53,11,1,3.23,192502.71
53,15,0,3.49,196502.44
48,15,1,3.5,209156.31
51,16,0,2.55,182995.72
